latitude,longitude,new_order,building_name,building_address,list_subdata_1_title,list_subdata_1,data_1_title,data_1,data_2_title,data_2,data_3_title,data_3,data_4_title,data_4,data_5_title,data_5,data_6_title,data_6,data_7_title,data_7,image_name
33.4484206,-111.9837061,27,,"4600 E Washington St Phoenix, AZ, 85034",Available SF,"188,145",Rentable Building Area,"188,145",Available SF,"188,145",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4059482,-111.9867235,28,Bldg 17 - Phase V,"4550 S 44th Pl Phoenix, AZ, 85040-4011",Available SF,"54,489",Rentable Building Area,"54,489",Available SF,"54,489",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4053165,-111.9878319,29,Bldg 16 - Phase V,"4610 S 44th Pl Phoenix, AZ, 85040",Available SF,"66,012",Rentable Building Area,"66,012",Available SF,"66,012",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4039825,-111.9862715,30,Bldg 14 - Phase IV,"4750 S 44th Pl Phoenix, AZ, 85040",Available SF,"158,992",Rentable Building Area,"158,992",Available SF,"158,992",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4042628,-111.9847193,31,Cotton Center Building 19,"4755 S 44th Pl Phoenix, AZ, 85040",Available SF,"82,951",Rentable Building Area,"82,951",Available SF,"82,951",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4274299,-111.97992,32,Avnet Global Headquarters,"2211 S 47th St Phoenix, AZ, 85034-6403",Available SF,"176,402",Rentable Building Area,"176,402",Available SF,"176,402",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4199041,-111.9810199,33,One Compass Center,"3150 S 48th St Phoenix, AZ, 85040-1709",Available SF,"136,194",Rentable Building Area,"136,194",Available SF,"136,194",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.402958,-111.979141,34,Mutual of Omaha,"4950 S 48th St Phoenix, AZ, 85040",Available SF,"73,377",Rentable Building Area,"73,377",Available SF,"73,377",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4080839,-112.0151738,35,Riverpoint-Bldg # 2,"3100 E Broadway Rd Phoenix, AZ, 85040",Available SF,"61,316",Rentable Building Area,"61,316",Available SF,"61,316",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4060189,-111.9925251,36,Allred Broadway Center,"4141 E Broadway Rd Phoenix, AZ, 85040-8831",Available SF,"215,634",Rentable Building Area,"215,634",Available SF,"215,634",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4032147,-111.9906599,37,Quattro - Phase I Bldg 1,"4310 E Cotton Center Blvd Phoenix, AZ, 85040",Available SF,"68,000",Rentable Building Area,"68,000",Available SF,"68,000",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4028512,-111.989224,38,Quattro - Bldg 1,"4340 E Cotton Center Blvd Phoenix, AZ, 85040",Available SF,"82,900",Rentable Building Area,"82,900",Available SF,"82,900",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4046129,-111.9892407,39,Quattro - Bldg 2,"4350 E Cotton Center Blvd Phoenix, AZ, 85040",Available SF,"57,108",Rentable Building Area,"57,108",Available SF,"57,108",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.400795,-111.983949,40,Bldg 4 - Phase II,"4425 E Cotton Center Blvd Phoenix, AZ, 85040-8854",Available SF,"165,000",Rentable Building Area,"165,000",Available SF,"165,000",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4024296,-111.9837758,41,Bldg 3 - Phase II,"4435 E Cotton Center Blvd Phoenix, AZ, 85040",Available SF,"37,750",Rentable Building Area,"37,750",Available SF,"37,750",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4036506,-111.9835644,42,Aetna,"4500 E Cotton Center Blvd Phoenix, AZ, 85040",Available SF,"139,403",Rentable Building Area,"139,403",Available SF,"139,403",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4028285,-111.9811698,43,Forty6Forty5 Cotton Corporate Center,"4645 E Cotton Center Blvd Phoenix, AZ, 85040-8874",Available SF,"116,858",Rentable Building Area,"116,858",Available SF,"116,858",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4186522,-112.0150529,44,,"3137 E Elwood St Phoenix, AZ, 85034-8200",Available SF,"123,032",Rentable Building Area,"123,032",Available SF,"123,032",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.418259,-112.013134,45,,"3138 E Elwood St Phoenix, AZ, 85034-7210",Available SF,"77,155",Rentable Building Area,"77,155",Available SF,"77,155",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4172265,-112.0140008,46,CognoSante,"3157 E Elwood St Phoenix, AZ, 85034-7209",Available SF,"76,120",Rentable Building Area,"76,120",Available SF,"76,120",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4162368,-112.0135006,47,The 3201,"3201 E Elwood St Phoenix, AZ, 85034-7259",Available SF,"77,132",Rentable Building Area,"77,132",Available SF,"77,132",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.414439,-112.010738,48,Southbank II,"3255 E Elwood St Phoenix, AZ, 85034-7256",Available SF,"120,778",Rentable Building Area,"120,778",Available SF,"120,778",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.412336,-111.982021,49,Sky Harbor II,"4605 E Elwood St Phoenix, AZ, 85040-1973",Available SF,"123,448",Rentable Building Area,"123,448",Available SF,"123,448",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.41215,-111.981521,50,Sky Harbor Towers I,"4615 E Elwood St Phoenix, AZ, 85040-1958",Available SF,"96,222",Rentable Building Area,"96,222",Available SF,"96,222",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4127674,-111.9941,51,Allred 40,"4039 E Raymond St Phoenix, AZ, 85040-1930",Available SF,"89,889",Rentable Building Area,"89,889",Available SF,"89,889",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4126096,-112.0139438,52,"Apollo Education Group, Inc","4025 S Riverpoint Pky Phoenix, AZ, 85040",Available SF,"267,962",Rentable Building Area,"267,962",Available SF,"267,962",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4113959,-112.0127451,53,University of Phoenix,"4035 S Riverpoint Pky Phoenix, AZ, 85040",Available SF,"165,851",Rentable Building Area,"165,851",Available SF,"165,851",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4109973,-112.0137524,54,,"4045 S Riverpoint Pky Phoenix, AZ, 85040",Available SF,"165,851",Rentable Building Area,"165,851",Available SF,"165,851",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.4222878,-111.9818259,55,Phoenix Airport Center,"4636 E University Dr Phoenix, AZ, 85034-7418",Available SF,"38,315",Rentable Building Area,"38,315",Available SF,"38,315",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.446575,-111.97763,56,,"4801 E Washington St Phoenix, AZ, 85034-2004",Available SF,"132,263",Rentable Building Area,"132,263",Available SF,"132,263",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,http://reap.cassidyturley.com/filecabinet/cass438970/Property/047722/RedMountainRetail.jpg
33.4462803,-111.9723992,57,Touchstone Rehab,"5055 E Washington St Phoenix, AZ, 85034",Available SF,"51,810",Rentable Building Area,"51,810",Available SF,"51,810",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5093242,-112.020935,58,Camelback Collective,"2801 E Camelback Rd Phoenix, AZ, 85016",Available SF,"118,090",Rentable Building Area,"118,090",Available SF,"118,090",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.508585,-112.033809,59,Anchor Centre West,"2201 E Camelback Rd Phoenix, AZ, 85016-3431",Available SF,"198,493",Rentable Building Area,"198,493",Available SF,"198,493",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,http://reap.cassidyturley.com//filecabinet/cass438970/Property/019205/west.jpg
33.5067578,-112.0639052,60,Valley Commerce Center - South Bldg,"4745 N 7th St Phoenix, AZ, 85014-3665",Available SF,"106,984",Rentable Building Area,"106,984",Available SF,"106,984",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,http://reap.cassidyturley.com/filecabinet/Property/480977/0123e4157e1e4ebfa7e7c549120500be.jpg
33.5073079,-112.0641186,61,Valley Commerce Center North Bldg,"4747 N 7th St Phoenix, AZ, 85014-3653",Available SF,"107,016",Rentable Building Area,"107,016",Available SF,"107,016",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.515411,-112.046789,62,The Madison,"5343 N 16th St Phoenix, AZ, 85016-3231",Available SF,"88,178",Rentable Building Area,"88,178",Available SF,"88,178",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.516095,-112.046756,63,,"5353 N 16th St Phoenix, AZ, 85016-3224",Available SF,"89,134",Rentable Building Area,"89,134",Available SF,"89,134",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.50738,-112.033758,64,Anchor Centre II,"4747 N 22nd St Phoenix, AZ, 85016-4758",Available SF,"49,212",Rentable Building Area,"49,212",Available SF,"49,212",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5275136,-112.0281442,65,Best Western Worldwide Headquarters,"6201 N 24th Pky Phoenix, AZ, 85016-2023",Available SF,"65,000",Rentable Building Area,"65,000",Available SF,"65,000",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5061248,-112.0310537,66,Elevate 24,"4722 N 24th St Phoenix, AZ, 85016-4800",Available SF,"177,944",Rentable Building Area,"177,944",Available SF,"177,944",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.506956,-112.0308145,67,Elevate 24,"4742 N 24th St Phoenix, AZ, 85016-4858",Available SF,"145,426",Rentable Building Area,"145,426",Available SF,"145,426",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.524522,-112.0280666,68,Bldg C,"6001 N 24th St Phoenix, AZ, 85016-2018",Available SF,"38,130",Rentable Building Area,"38,130",Available SF,"38,130",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5251344,-112.0288012,69,Bldg B,"6001 N 24th St Phoenix, AZ, 85016-2018",Available SF,"101,778",Rentable Building Area,"101,778",Available SF,"101,778",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5293663,-112.0265681,70,24th at Lincoln,"6225 N 24th St Phoenix, AZ, 85016-2020",Available SF,"86,451",Rentable Building Area,"86,451",Available SF,"86,451",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5304219,-112.0257075,71,Biltmore 24,"6245 N 24th St Phoenix, AZ, 85016-2034",Available SF,"44,174",Rentable Building Area,"44,174",Available SF,"44,174",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5120579,-111.9962175,72,5050 @ Camelback,"5050 N 40th St Phoenix, AZ, 85018-2139",Available SF,"71,717",Rentable Building Area,"71,717",Available SF,"71,717",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5121261,-111.996786,73,5060 Building,"5060 N 40th St Phoenix, AZ, 85018-2145",Available SF,"28,465",Rentable Building Area,"28,465",Available SF,"28,465",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.512638,-111.99773,74,The 5070 Bldg,"5070 N 40th St Phoenix, AZ, 85018-2148",Available SF,"22,049",Rentable Building Area,"22,049",Available SF,"22,049",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.513328,-111.99842,75,Northbank,"5080 N 40th St Phoenix, AZ, 85018-2147",Available SF,"67,767",Rentable Building Area,"67,767",Available SF,"67,767",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5131334,-111.9958297,76,5090 Building,"5090 N 40th St Phoenix, AZ, 85018-2111",Available SF,"175,835",Rentable Building Area,"175,835",Available SF,"175,835",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5134196,-111.9973109,77,,"5353 N 16th St Phoenix, AZ, 85016-3224",Available SF,"31,231",Rentable Building Area,"31,231",Available SF,"31,231",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5266735,-112.0285728,78,Building 2,"2400 E Arizona Biltmore Cir Phoenix, AZ, 85016",Available SF,"23,113",Rentable Building Area,"23,113",Available SF,"23,113",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5270822,-112.0291999,79,Building 4,"2400 E Arizona Biltmore Cir Phoenix, AZ, 85016-2107",Available SF,"23,887",Rentable Building Area,"23,887",Available SF,"23,887",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5253214,-112.0269099,80,Biltmore Pavilions,"2525 E Arizona Biltmore Cir Phoenix, AZ, 85016-2146",Available SF,"59,706",Rentable Building Area,"59,706",Available SF,"59,706",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5067152,-112.0456523,81,Camelback Arboleda,"1661 E Camelback Rd Phoenix, AZ, 85016-3911",Available SF,"178,792",Rentable Building Area,"178,792",Available SF,"178,792",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5075246,-112.042538,82,The Bridge at Camelback,"1801 E Camelback Rd Phoenix, AZ, 85016-4163",Available SF,"479,250",Rentable Building Area,"479,250",Available SF,"479,250",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5088583,-112.0350757,83,,"2141 E Camelback Rd Phoenix, AZ, 85016-4764",Available SF,"34,684",Rentable Building Area,"34,684",Available SF,"34,684",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5098453,-112.0349012,84,Camelback Building,"2198 E Camelback Rd Phoenix, AZ, 85016-4742",Available SF,"56,023",Rentable Building Area,"56,023",Available SF,"56,023",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5099717,-112.0338722,85,AMTrust Bank Center,"2200 E Camelback Rd Phoenix, AZ, 85016-3454",Available SF,"46,523",Rentable Building Area,"46,523",Available SF,"46,523",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5098107,-112.0327936,86,Bank USA,"2222 E Camelback Rd Phoenix, AZ, 85016-3428",Available SF,"30,662",Rentable Building Area,"30,662",Available SF,"30,662",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5084868,-112.0327106,87,Anchor Centre East,"2231 E Camelback Rd Phoenix, AZ, 85016-3453",Available SF,"134,791",Rentable Building Area,"134,791",Available SF,"134,791",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.508614,-112.0321053,88,24th at Camelback II,"2325 E Camelback Rd Phoenix, AZ, 85016",Available SF,"306,877",Rentable Building Area,"306,877",Available SF,"306,877",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,http://reap.cassidyturley.com//filecabinet/cass438970/Property/019185/a.jpg
